year,month,bus,rail_boardings,city
2019,1,563028,518350,Chicago
2019,2,652810,584176,Chicago
2019,3,653779,581264,Chicago
2019,4,664563,612855,Chicago
2019,5,682093,619580,Chicago
2019,6,659810,626125,Chicago
2019,7,642062,616255,Chicago
2019,8,643249,626095,Chicago
2019,9,695256,639274,Chicago
2019,10,703239,663960,Chicago
2019,11,643480,581612,Chicago
2019,12,599792,513666,Chicago
2020,1,628464,554231,Chicago
2020,2,656211,562027,Chicago
2020,3,430344,315950,Chicago
2020,4,195055,75554,Chicago
2020,5,220092,72099,Chicago
2020,6,244390,98504,Chicago
2020,7,277691,137260,Chicago
2020,8,275514,137437,Chicago
2020,9,286440,151891,Chicago
2020,10,286671,153237,Chicago
2020,11,249798,127163,Chicago
2020,12,240879,118744,Chicago
2021,1,230864,117060,Chicago
2021,2,243111,130435,Chicago
2021,3,286050,152501,Chicago
2021,4,295486,166803,Chicago
2021,5,296701,184668,Chicago
2021,6,328157,225286,Chicago
2021,7,342101,257660,Chicago
2021,8,353216,260039,Chicago
2021,9,401959,299608,Chicago
2021,10,384053,291267,Chicago
2021,11,364131,267356,Chicago
2021,12,328256,227103,Chicago
2022,1,277632,184843,Chicago
2022,2,345887,234981,Chicago
2022,3,389743,272244,Chicago
2022,4,382687,277309,Chicago
2022,5,395293,287869,Chicago
2022,6,399839,313611,Chicago
2022,7,372724,301633,Chicago
2022,8,407801,311274,Chicago
2022,9,442212,340009,Chicago
2022,10,429050,331476,Chicago
2022,11,401847,295974,Chicago
2022,12,357809,250606,Chicago
2023,1,377475,263533,Chicago
2023,2,414453,277204,Chicago
2023,3,435635,302765,Chicago
2023,4,426815,306100,Chicago
2023,5,455706,327648,Chicago
2023,6,439544,346815,Chicago
2023,7,419327,323236,Chicago
2023,8,468669,358438,Chicago
2023,9,493214,368564,Chicago
2023,10,491693,371285,Chicago
2023,11,463168,330681,Chicago
2023,12,429316,282792,Chicago
2024,1,415583,275880,Chicago
2024,2,496844,320690,Chicago
2024,3,477227,326046,Chicago
2024,4,520507,348611,Chicago
2024,5,527987,365498,Chicago
2024,6,491426,364289,Chicago
2024,7,493770,363863,Chicago
2024,8,501116,378861,Chicago
2024,9,538703,388866,Chicago
2024,10,564974,407448,Chicago
2024,11,490010,343753,Chicago
2024,12,442109,295236,Chicago
2025,1,443944,295232,Chicago
2025,2,490197,313622,Chicago
2025,3,502098,344147,Chicago
2025,4,542729,374914,Chicago
2025,5,527668,379849,Chicago
2025,6,503233,394295,Chicago
2025,7,497015,400120,Chicago
2025,8,524645,418390,Chicago
2025,9,557363,424427,Chicago
2025,10,552484,429808,Chicago
2025,11,475467,353889,Chicago
