year,month,bus,rail_boardings
2019,1,17453868,16068845
2019,2,18278676,16356941
2019,3,20267147,18019169
2019,4,19936880,18385649
2019,5,21144868,19206970
2019,6,19794294,18783743
2019,7,19903917,19103898
2019,8,19940708,19408958
2019,9,20857679,19178218
2019,10,21800400,20582746
2019,11,19304408,17448364
2019,12,18593554,15923640
2020,1,19482387,17181153
2020,2,19030115,16298769
2020,3,13340656,9794464
2020,4,5851652,2266610
2020,5,6822849,2235078
2020,6,7331691,2955135
2020,7,8608427,4255061
2020,8,8540935,4260558
2020,9,8593214,4556719
2020,10,8886804,4750347
2020,11,7493942,3814904
2020,12,7467248,3681073
2021,1,7156782,3628861
2021,2,6807111,3652181
2021,3,8867549,4727546
2021,4,8864580,5004096
2021,5,9197726,5724705
2021,6,9844711,6758590
2021,7,10605134,7987466
2021,8,10949681,8061195
2021,9,12058765,8988251
2021,10,11905629,9029274
2021,11,10923926,8020686
2021,12,10175928,7040197
2022,1,8606585,5730131
2022,2,9684827,6579471
2022,3,12082027,8439571
2022,4,11480608,8319272
2022,5,12254083,8923927
2022,6,11995182,9408339
2022,7,11554429,9350624
2022,8,12641823,9649489
2022,9,13266349,10200260
2022,10,13300536,10275760
2022,11,12055415,8879225
2022,12,11092088,7768789
2023,1,11701716,8169536
2023,2,11604685,7761710
2023,3,13504682,9385726
2023,4,12804436,9182985
2023,5,14126901,10157092
2023,6,13186305,10404445
2023,7,12999142,10020315
2023,8,14528742,11111570
2023,9,14796427,11056933
2023,10,15242489,11509844
2023,11,13895032,9920424
2023,12,13308801,8766560
2024,1,12883065,8552283
2024,2,14408475,9300019
2024,3,14794052,10107439
2024,4,15615211,10458339
2024,5,16367601,11330441
2024,6,14742769,10928671
2024,7,15306884,11279758
2024,8,15534600,11744693
2024,9,16161092,11665977
2024,10,17514190,12630875
2024,11,14700298,10312595
2024,12,13705388,9152319
2025,1,13762257,9152197
2025,2,13725525,8781408
2025,3,15565051,10668550
2025,4,16281859,11247435
2025,5,16357704,11775315
2025,6,15096977,11828838
2025,7,15407467,12403716
2025,8,16263989,12970077
2025,9,16720898,12732813
2025,10,17126989,13324046
2025,11,14264012,10616667
