year,month,mode,ridership
2019,1,Bus,459160
2019,1,CCT,4294
2019,1,Heavy Rail,296709
2019,1,Regional Rail,122856
2019,1,Trackless Trolley,16853
2019,1,Trolley,82787
2019,2,Bus,464674
2019,2,CCT,4652
2019,2,Heavy Rail,315858
2019,2,Regional Rail,121161
2019,2,Trackless Trolley,16812
2019,2,Trolley,82787
2019,3,Bus,478487
2019,3,CCT,6027
2019,3,Heavy Rail,308777
2019,3,Regional Rail,118228
2019,3,Trackless Trolley,18813
2019,3,Trolley,82433
2019,4,Bus,473732
2019,4,CCT,4805
2019,4,Heavy Rail,305491
2019,4,Regional Rail,124045
2019,4,Trackless Trolley,18934
2019,4,Trolley,84864
2019,5,Bus,480074
2019,5,CCT,5655
2019,5,Heavy Rail,303776
2019,5,Regional Rail,119187
2019,5,Trackless Trolley,19452
2019,5,Trolley,83413
2019,6,Bus,396720
2019,6,CCT,4924
2019,6,Heavy Rail,273813
2019,6,Regional Rail,113745
2019,6,Trackless Trolley,15639
2019,6,Trolley,73295
2019,7,Bus,401911
2019,7,CCT,4314
2019,7,Heavy Rail,263492
2019,7,Regional Rail,115144
2019,7,Trackless Trolley,15597
2019,7,Trolley,71573
2019,8,Bus,406865
2019,8,CCT,5649
2019,8,Heavy Rail,268150
2019,8,Regional Rail,114436
2019,8,Trackless Trolley,15313
2019,8,Trolley,75874
2019,9,Bus,501557
2019,9,CCT,4933
2019,9,Heavy Rail,321907
2019,9,Regional Rail,138481
2019,9,Trackless Trolley,19348
2019,9,Trolley,80939
2019,10,Bus,502857
2019,10,CCT,4687
2019,10,Heavy Rail,326562
2019,10,Regional Rail,133614
2019,10,Trackless Trolley,19793
2019,10,Trolley,80063
2019,11,Bus,490316
2019,11,CCT,6145
2019,11,Heavy Rail,322462
2019,11,Regional Rail,130761
2019,11,Trackless Trolley,18880
2019,11,Trolley,80113
2019,12,Bus,437027
2019,12,CCT,4595
2019,12,Heavy Rail,312677
2019,12,Regional Rail,128363
2019,12,Trackless Trolley,17282
2019,12,Trolley,78034
2020,1,Bus,493261
2020,1,CCT,4414
2020,1,Heavy Rail,311442
2020,1,Regional Rail,129953
2020,1,Trackless Trolley,18741
2020,1,Trolley,79713
2020,2,Bus,503967
2020,2,CCT,5075
2020,2,Heavy Rail,309414
2020,2,Regional Rail,125397
2020,2,Trackless Trolley,18226
2020,2,Trolley,82076
2020,3,Bus,414021
2020,3,CCT,3885
2020,3,Heavy Rail,191819
2020,3,Regional Rail,60912
2020,3,Trackless Trolley,14497
2020,3,Trolley,58641
2020,4,Bus,141411
2020,4,CCT,694
2020,4,Heavy Rail,44353
2020,4,Regional Rail,5168
2020,4,Trackless Trolley,4888
2020,4,Trolley,14870
2020,5,Bus,165838
2020,5,CCT,973
2020,5,Heavy Rail,52913
2020,5,Regional Rail,2016
2020,5,Trackless Trolley,6243
2020,5,Trolley,20611
2020,6,Bus,192334
2020,6,CCT,1056
2020,6,Heavy Rail,66216
2020,6,Regional Rail,8516
2020,6,Trackless Trolley,7677
2020,6,Trolley,27991
2020,7,Bus,203766
2020,7,CCT,1076
2020,7,Heavy Rail,86270
2020,7,Regional Rail,17381
2020,7,Trackless Trolley,7666
2020,7,Trolley,31135
2020,8,Bus,189252
2020,8,CCT,1611
2020,8,Heavy Rail,87788
2020,8,Regional Rail,18288
2020,8,Trackless Trolley,7963
2020,8,Trolley,26191
2020,9,Bus,205693
2020,9,CCT,1471
2020,9,Heavy Rail,96188
2020,9,Regional Rail,23479
2020,9,Trackless Trolley,7932
2020,9,Trolley,23834
2020,10,Bus,207445
2020,10,CCT,1588
2020,10,Heavy Rail,97333
2020,10,Regional Rail,22844
2020,10,Trackless Trolley,8510
2020,10,Trolley,23686
2020,11,Bus,193063
2020,11,CCT,2004
2020,11,Heavy Rail,88690
2020,11,Regional Rail,23836
2020,11,Trackless Trolley,7551
2020,11,Trolley,22903
2020,12,Bus,200729
2020,12,CCT,1314
2020,12,Heavy Rail,92190
2020,12,Regional Rail,23381
2020,12,Trackless Trolley,7431
2020,12,Trolley,24671
2021,1,Bus,184766
2021,1,CCT,1381
2021,1,Heavy Rail,88543
2021,1,Regional Rail,24283
2021,1,Trackless Trolley,6573
2021,1,Trolley,24608
2021,2,Bus,184944
2021,2,CCT,1399
2021,2,Heavy Rail,84876
2021,2,Regional Rail,15466
2021,2,Trackless Trolley,5884
2021,2,Trolley,24824
2021,3,Bus,208266
2021,3,CCT,2082
2021,3,Heavy Rail,94351
2021,3,Regional Rail,21225
2021,3,Trackless Trolley,7336
2021,3,Trolley,25485
2021,4,Bus,209824
2021,4,CCT,1833
2021,4,Heavy Rail,104843
2021,4,Regional Rail,21312
2021,4,Trackless Trolley,8331
2021,4,Trolley,27140
2021,5,Bus,216243
2021,5,CCT,3158
2021,5,Heavy Rail,109747
2021,5,Regional Rail,25380
2021,5,Trackless Trolley,8752
2021,5,Trolley,28242
2021,6,Bus,222345
2021,6,CCT,1564
2021,6,Heavy Rail,112267
2021,6,Regional Rail,28832
2021,6,Trackless Trolley,8289
2021,6,Trolley,30826
2021,7,Bus,232352
2021,7,CCT,1736
2021,7,Heavy Rail,115614
2021,7,Regional Rail,32582
2021,7,Trackless Trolley,8578
2021,7,Trolley,28434
2021,8,Bus,238176
2021,8,CCT,2478
2021,8,Heavy Rail,115936
2021,8,Regional Rail,33513
2021,8,Trackless Trolley,8269
2021,8,Trolley,30921
2021,9,Bus,291653
2021,9,CCT,2144
2021,9,Heavy Rail,151160
2021,9,Regional Rail,42560
2021,9,Trackless Trolley,10835
2021,9,Trolley,37844
2021,10,Bus,302979
2021,10,CCT,2236
2021,10,Heavy Rail,157350
2021,10,Regional Rail,53831
2021,10,Trackless Trolley,11480
2021,10,Trolley,37036
2021,11,Bus,293035
2021,11,CCT,2380
2021,11,Heavy Rail,150727
2021,11,Regional Rail,52291
2021,11,Trackless Trolley,11139
2021,11,Trolley,35881
2021,12,Bus,272915
2021,12,CCT,2351
2021,12,Heavy Rail,142023
2021,12,Regional Rail,47061
2021,12,Trackless Trolley,9677
2021,12,Trolley,34169
2022,1,Bus,243951
2022,1,CCT,2019
2022,1,Heavy Rail,115382
2022,1,Regional Rail,32407
2022,1,Trackless Trolley,7753
2022,1,Trolley,30631
2022,2,Bus,292800
2022,2,CCT,2309
2022,2,Heavy Rail,142654
2022,2,Regional Rail,48846
2022,2,Trackless Trolley,9078
2022,2,Trolley,40565
2022,3,Bus,303607
2022,3,CCT,2564
2022,3,Heavy Rail,145909
2022,3,Regional Rail,54994
2022,3,Trackless Trolley,10722
2022,3,Trolley,38122
2022,4,Bus,297311
2022,4,CCT,2677
2022,4,Heavy Rail,143797
2022,4,Regional Rail,54044
2022,4,Trackless Trolley,10035
2022,4,Trolley,35922
2022,5,Bus,313650
2022,5,CCT,2714
2022,5,Heavy Rail,140826
2022,5,Regional Rail,51962
2022,5,Trackless Trolley,10504
2022,5,Trolley,38581
2022,6,Bus,262689
2022,6,CCT,2631
2022,6,Heavy Rail,130480
2022,6,Regional Rail,55791
2022,6,Trackless Trolley,9227
2022,6,Trolley,35000
2022,7,Bus,272936
2022,7,CCT,2743
2022,7,Heavy Rail,120182
2022,7,Regional Rail,51583
2022,7,Trackless Trolley,8734
2022,7,Trolley,34354
2022,8,Bus,272216
2022,8,CCT,2742
2022,8,Heavy Rail,128345
2022,8,Regional Rail,53394
2022,8,Trackless Trolley,8728
2022,8,Trolley,44765
2022,9,Bus,341880
2022,9,CCT,2864
2022,9,Heavy Rail,147378
2022,9,Regional Rail,62122
2022,9,Trackless Trolley,10641
2022,9,Trolley,39475
2022,10,Bus,340544
2022,10,CCT,2857
2022,10,Heavy Rail,156381
2022,10,Regional Rail,63954
2022,10,Trackless Trolley,11084
2022,10,Trolley,39046
2022,11,Bus,338481
2022,11,CCT,2851
2022,11,Heavy Rail,145873
2022,11,Regional Rail,64215
2022,11,Trackless Trolley,10195
2022,11,Trolley,40666
2022,12,Bus,299614
2022,12,CCT,2869
2022,12,Heavy Rail,136539
2022,12,Regional Rail,60226
2022,12,Trackless Trolley,9677
2022,12,Trolley,37275
2023,1,Bus,319605
2023,1,CCT,2834
2023,1,Heavy Rail,142909
2023,1,Regional Rail,62311
2023,1,Trackless Trolley,8931
2023,1,Trolley,39738
2023,2,Bus,342049
2023,2,CCT,2882
2023,2,Heavy Rail,144909
2023,2,Regional Rail,64720
2023,2,Trackless Trolley,8742
2023,2,Trolley,44706
2023,3,Bus,341407
2023,3,CCT,2982
2023,3,Heavy Rail,137699
2023,3,Regional Rail,66514
2023,3,Trackless Trolley,9594
2023,3,Trolley,39744
2023,4,Bus,336495
2023,4,CCT,2952
2023,4,Heavy Rail,138287
2023,4,Regional Rail,66900
2023,4,Trackless Trolley,9656
2023,4,Trolley,38427
2023,5,Bus,359462
2023,5,CCT,2985
2023,5,Heavy Rail,143856
2023,5,Regional Rail,65979
2023,5,Trackless Trolley,10310
2023,5,Trolley,47563
2023,6,Bus,302745
2023,6,CCT,2981
2023,6,Heavy Rail,134429
2023,6,Regional Rail,66067
2023,6,Trackless Trolley,8757
2023,6,Trolley,43548
2023,7,Bus,297469
2023,7,CCT,2921
2023,7,Heavy Rail,129900
2023,7,Regional Rail,61204
2023,7,Trackless Trolley,8734
2023,7,Trolley,40544
2023,8,Bus,307127
2023,8,CCT,2972
2023,8,Heavy Rail,141078
2023,8,Regional Rail,60123
2023,8,Trackless Trolley,9034
2023,8,Trolley,44092
2023,9,Bus,367249
2023,9,CCT,3044
2023,9,Heavy Rail,181826
2023,9,Regional Rail,70733
2023,9,Trackless Trolley,11027
2023,9,Trolley,50049
2023,10,Bus,378441
2023,10,CCT,3095
2023,10,Heavy Rail,192092
2023,10,Regional Rail,74307
2023,10,Trackless Trolley,11875
2023,10,Trolley,52658
2023,11,Bus,368386
2023,11,CCT,3089
2023,11,Heavy Rail,182370
2023,11,Regional Rail,76946
2023,11,Trackless Trolley,10384
2023,11,Trolley,49494
2023,12,Bus,347255
2023,12,CCT,3138
2023,12,Heavy Rail,171378
2023,12,Regional Rail,72460
2023,12,Trackless Trolley,9159
2023,12,Trolley,48402
2024,1,Bus,343510
2024,1,CCT,2744
2024,1,Heavy Rail,169013
2024,1,Regional Rail,69804
2024,1,Trackless Trolley,8426
2024,1,Trolley,53846
2024,2,Bus,374784
2024,2,CCT,3054
2024,2,Regional Rail,77066
2024,2,Heavy Rail,180105
2024,2,Trolley,54088
2024,2,Trackless Trolley,9206
2024,3,Bus,344983
2024,3,CCT,3177
2024,3,Regional Rail,78463
2024,3,Heavy Rail,172117
2024,3,Trolley,50445
2024,3,Trackless Trolley,8405
2024,4,Bus,362983
2024,4,CCT,3164
2024,4,Regional Rail,79247
2024,4,Heavy Rail,195409
2024,4,Trolley,53229
2024,4,Trackless Trolley,12327
2024,5,Bus,381468
2024,5,CCT,3187
2024,5,Regional Rail,79261
2024,5,Heavy Rail,190688
2024,5,Trolley,52956
2024,5,Trackless Trolley,13420
2024,6,Bus,341764
2024,6,CCT,3187
2024,6,Regional Rail,75509
2024,6,Heavy Rail,186343
2024,6,Trolley,46640
2024,6,Trackless Trolley,11640
2024,7,Bus,322859
2024,7,CCT,3000
2024,7,Regional Rail,74700
2024,7,Heavy Rail,187200
2024,7,Trolley,41973
2024,7,Trackless Trolley,10682
2024,8,Bus,334527
2024,8,CCT,3057
2024,8,Regional Rail,74066
2024,8,Heavy Rail,205179
2024,8,Trolley,47908
2024,8,Trackless Trolley,11075
2024,9,Bus,401877
2024,9,CCT,3139
2024,9,Regional Rail,84360
2024,9,Heavy Rail,230261
2024,9,Trolley,61949
2024,9,Trackless Trolley,13804
2024,10,Bus,405318
2024,10,CCT,3236
2024,10,Regional Rail,87030
2024,10,Heavy Rail,230653
2024,10,Trolley,61634
2024,10,Trackless Trolley,13741
2024,11,Bus,382848
2024,11,CCT,3145
2024,11,Regional Rail,86498
2024,11,Heavy Rail,222197
2024,11,Trolley,57629
2024,11,Trackless Trolley,12902
2024,12,Bus,350305
2024,12,CCT,3100
2024,12,Regional Rail,80600
2024,12,Heavy Rail,204500
2024,12,Trolley,52008
2024,12,Trackless Trolley,11359
2025,1,Bus,354820
2025,1,CCT,2831
2025,1,Regional Rail,76737
2025,1,Heavy Rail,205867
2025,1,Trolley,53668
2025,1,Trackless Trolley,11926
2025,2,Bus,375744
2025,2,CCT,2300
2025,2,Regional Rail,88400
2025,2,Heavy Rail,217100
2025,2,Trolley,58386
2025,2,Trackless Trolley,12007
2025,3,Bus,382227
2025,3,CCT,3200
2025,3,Regional Rail,84800
2025,3,Heavy Rail,204400
2025,3,Trolley,59188
2025,3,Trackless Trolley,12691
2025,4,Bus,377072
2025,4,CCT,3100
2025,4,Regional Rail,84300
2025,4,Heavy Rail,214900
2025,4,Trolley,58964
2025,4,Trackless Trolley,12342
2025,5,Bus,387744
2025,5,CCT,3228
2025,5,Regional Rail,84666
2025,5,Heavy Rail,220334
2025,5,Trolley,59762
2025,5,Trackless Trolley,12557
2025,6,Bus,345285
2025,6,CCT,3185
2025,6,Regional Rail,80214
2025,6,Heavy Rail,215302
2025,6,Trolley,52876
2025,6,Trackless Trolley,11018
2025,7,Bus,334079
2025,7,CCT,3137
2025,7,Regional Rail,81331
2025,7,Heavy Rail,199095
2025,7,Trolley,41973
2025,7,Trackless Trolley,10142
2025,8,Bus,331653
2025,8,CCT,3133
2025,8,Regional Rail,75494
2025,8,Heavy Rail,197618
2025,8,Trolley,43687
2025,8,Trackless Trolley,10510
2025,9,Bus,377001
2025,9,CCT,3156
2025,9,Regional Rail,90523
2025,9,Heavy Rail,223428
2025,9,Trolley,54951
2025,9,Trackless Trolley,12830
2025,10,Bus,392615
2025,10,CCT,3154
2025,10,Regional Rail,80635
2025,10,Heavy Rail,228969
2025,10,Trolley,61570
2025,10,Trackless Trolley,12758
